Code,Type,Colour,Sm,Mo,Lu,U,Yb,Au,La,As,W,Br,Ga,Na,K,Tm,Ce,Se,Th,Cr,Hf,Nd,Os,Zr,Cs,Ni,Tb,Sc,Rb,Fe,Zn,Co,Ta,Eu,Sb,Ba,Mn
FLF1,Rock,Pink,0.023,0.027,0.005,0.008,0.006,0.0002,0.025,0.008,0.016,0.025,0.024,0.811,42.757,0.009,0.543,0.020,0.074,0.309,0.056,0.435,0.120,2.944,0.053,0.189,0.003,0.047,0.492,138.276,0.234,0.052,0.004,0.008,0.020,6.195,1.609
FLF2,Rock,Pink,0.010,0.017,0.001,0.008,0.008,0.0002,0.037,0.010,0.021,0.023,0.042,1.632,51.469,0.012,0.700,0.025,0.103,0.408,0.087,0.502,nn,3.970,0.073,0.261,0.004,0.063,0.615,177.139,0.314,0.069,0.006,0.009,0.015,12.918,1.533
FLR1,Rock,Pink,0.003,0.009,0.001,0.005,0.004,0.0001,0.011,0.007,0.013,0.030,0.011,0.223,17.252,0.004,0.151,0.017,0.025,0.531,0.026,0.210,0.100,2.811,0.029,0.160,0.002,0.023,0.214,52.396,0.127,0.027,0.003,0.002,0.014,4.271,0.542
FLR2,Rock,Pink,0.002,0.010,0.001,0.004,0.003,0.0001,0.012,0.006,0.014,0.023,0.013,0.333,17.839,0.004,0.157,0.013,0.025,0.596,0.031,0.223,nn,1.821,0.027,0.167,0.002,0.022,0.195,51.814,0.111,0.028,0.002,0.002,0.010,6.854,0.488
CDS1,Rock,Pink,0.010,0.012,0.001,0.007,0.010,0.0001,0.037,0.009,0.016,0.011,0.019,0.705,61.131,0.001,0.047,0.008,0.006,0.075,0.004,nn,nn,nn,0.007,0.077,0.001,0.006,0.068,16.197,0.054,0.008,0.001,0.001,0.007,nn,0.284
CDS2,Rock,Pink,0.015,0.021,0.001,0.013,0.010,0.0001,0.046,0.011,0.013,0.009,0.045,0.850,76.815,0.001,0.043,0.008,0.004,0.067,0.004,0.083,nn,nn,0.005,0.075,0.001,0.004,0.063,10.872,0.062,0.006,0.001,0.001,0.004,nn,0.222
RAV1,Rock,Pink,0.052,0.036,0.002,0.022,0.025,0.0003,0.209,0.053,0.059,0.147,0.123,3.492,182.655,0.005,0.179,0.013,0.033,0.139,0.030,0.168,nn,1.746,0.018,0.116,0.002,0.016,0.203,39.401,0.081,0.018,0.002,0.003,0.009,4.911,0.552
RAV2,Rock,Pink,0.088,0.051,0.003,0.027,0.046,0.0004,0.373,0.093,0.091,0.178,0.357,22.376,340.213,0.005,0.244,0.015,0.038,0.173,0.052,0.246,0.085,2.607,0.022,0.155,0.002,0.019,0.264,47.586,0.105,0.022,0.002,0.004,0.028,7.677,0.521
AIL1,Rock,Pink,0.044,0.028,0.002,0.013,0.024,0.0003,0.185,0.044,0.067,0.038,0.133,4.638,188.854,0.013,0.811,0.024,0.113,0.541,0.061,0.526,nn,3.330,0.084,0.274,0.004,0.071,0.674,208.097,0.377,0.078,0.006,0.010,0.017,11.674,2.318
AIL2,Rock,Pink,0.025,nn,0.002,0.016,0.024,0.0004,0.144,0.039,0.086,0.046,nn,11.871,266.692,0.015,0.963,0.024,0.139,0.648,0.084,0.658,0.132,3.804,0.106,0.280,0.004,0.090,0.831,258.678,0.458,0.097,0.007,0.012,0.019,19.898,2.261
BLA1,Sea,Black,nn,nn,nn,0.114,nn,nn,0.031,0.044,0.060,5.066,nn,4.555,13.837,nn,0.032,nn,0.005,10.009,nn,nn,nn,nn,0.007,4.940,nn,0.002,0.194,67.276,0.500,0.084,nn,nn,0.020,nn,10.858
BLA2,Sea,Black,nn,nn,nn,0.107,nn,nn,0.032,0.050,0.063,5.133,nn,6.532,17.257,nn,0.042,nn,0.004,9.333,nn,nn,nn,nn,0.006,4.736,nn,0.002,0.201,62.817,0.474,0.079,nn,nn,0.017,nn,12.204
RED1,Sea,Red,0.454,nn,nn,0.164,0.177,nn,0.793,0.193,nn,0.242,nn,121.973,56.817,nn,5.224,0.256,0.050,19.619,0.672,4.603,nn,41.160,nn,15.760,0.035,1.285,nn,5405.549,4.023,1.863,0.021,0.089,0.054,nn,35.611
RED2,Sea,Red,0.465,nn,nn,0.211,0.197,nn,0.806,0.206,nn,0.272,nn,129.017,56.617,nn,4.799,0.234,0.047,17.702,0.632,3.864,nn,37.583,nn,15.093,0.036,1.248,nn,5103.338,4.222,1.860,0.023,0.088,0.040,nn,33.956
MAD1,Sea,White,0.196,nn,nn,nn,nn,nn,1.181,1.089,nn,2.812,nn,388.479,732.760,nn,2.928,nn,0.204,1.731,0.283,nn,nn,nn,0.334,3.706,0.086,0.163,4.645,688.814,7.256,0.448,0.112,0.070,0.466,nn,31.082
MAD2,Sea,White,0.215,nn,nn,nn,nn,nn,1.131,1.008,nn,2.245,nn,529.591,863.243,nn,3.744,nn,0.211,2.350,0.273,nn,nn,nn,0.351,5.602,0.075,0.223,4.175,849.431,6.208,0.376,0.083,0.040,0.429,nn,52.142
MAT1,Sea,White,0.168,nn,nn,0.647,nn,nn,0.688,0.457,nn,0.431,nn,220.635,452.107,nn,2.641,nn,0.128,3.734,0.559,3.628,nn,51.024,0.143,5.988,0.048,0.152,2.603,740.150,4.154,0.336,0.065,0.048,nn,nn,64.292
MAT2,Sea,White,0.158,nn,nn,1.105,nn,nn,0.834,0.420,nn,0.361,nn,156.057,376.488,nn,3.297,nn,0.132,3.309,0.631,nn,nn,45.714,0.133,5.578,0.054,0.148,2.444,678.780,3.631,0.307,0.057,0.039,nn,nn,29.553
